"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1382","1.1087250164246838E+0","-2.5575334189609765E-20","-1.9496803544462299E-1","-3.5319597461110308E-4","-2.2084968807239883E-1","-2.9610457789996823E-3","3.0229860170540599E+0","5.5104800823880691E+0","2.4426050528622270E+1","2.3747580136109599E+2","1.215058560962404E-2"
"1381","1.1087252584379923E+0","-2.5573417134746407E-20","-1.9496741966929970E-1","3.6169591101190110E-4","-2.2085044385712338E-1","3.0323366082261201E-3","3.0229857664515700E+0","5.5104841526634791E+0","2.4426068570744068E+1","2.3747536982573700E+2","1.215058560962404E-2"
"1380","1.1087257605262066E+0","-2.5575346754675019E-20","-1.9496614216151958E-1","-3.7872116376618453E-4","-2.2085201183605049E-1","-3.1751378341538109E-3","3.0229852465379601E+0","5.5104925971089074E+0","2.4426106002047266E+1","2.3747447445021700E+2","1.215058560962404E-2"
"1379","1.1087260198402891E+0","-2.5573413328024923E-20","-1.9496548236552244E-1","3.8722064143341276E-4","-2.2085282165364886E-1","3.2464316101278477E-3","3.0229849780149500E+0","5.5104969584911361E+0","2.4426125334544814E+1","2.3747401202004301E+2","1.215058560962404E-2"
"1378","1.1087265565854645E+0","-2.5575063964615484E-20","-1.9496411667492197E-1","-4.0424494374742190E-4","-2.2085449787342376E-1","-3.3892389440957965E-3","3.0229844222013398E+0","5.5105059860961285E+0","2.4426165350792473E+1","2.3747305484726999E+2","1.215058560962404E-2"
"1377","1.1087268332033717E+0","-2.5573407875829725E-20","-1.9496341285039545E-1","4.1274393116690186E-4","-2.2085536173480061E-1","3.4605358722459853E-3","3.0229841357534299E+0","5.5105106386546527E+0","2.4426185973973737E+1","2.3747256157908299E+2","1.215058560962404E-2"
"1376","1.1087274046115776E+0","-2.5575157259171188E-20","-1.9496195896123020E-1","-4.2976721995930398E-4","-2.2085714621592192E-1","-3.6033497262202728E-3","3.0229835440311601E+0","5.5105202495826919E+0","2.4426228575890519E+1","2.3747154258611400E+2","1.215058560962404E-2"
"1375","1.1087276985361731E+0","-2.5573386811437780E-20","-1.9496121110024178E-1","4.3826568564480826E-4","-2.2085806413134015E-1","3.6746500124228022E-3","3.0229832396537599E+0","5.5105251933971875E+0","2.4426250490108679E+1","2.3747101845505699E+2","1.215058560962404E-2"
"1374","1.1087283046138541E+0","-2.5575079447506570E-20","-1.9495966899561012E-1","-4.5528789788098898E-4","-2.2085995689632945E-1","-3.8174707992415773E-3","3.0229826120133798E+0","5.5105353878124337E+0","2.4426295678422257E+1","2.3746993761987500E+2","1.215058560962404E-2"
"1373","1.1087286158486114E+0","-2.5573509098734408E-20","-1.9495887708942014E-1","4.6378581038450958E-4","-2.2086092887723255E-1","3.8887746498644299E-3","3.0229822897018002E+0","5.5105406229747382E+0","2.4426318884084385E+1","2.3746938259677401E+2","1.215058560962404E-2"
"1372","1.1087292566027389E+0","-2.5575254151172350E-20","-1.9495724675134440E-1","-4.8080688308170262E-4","-2.2086292994986309E-1","-4.0316027833379991E-3","3.0229816261334199E+0","5.5105514010580530E+0","2.4426366659596447E+1","2.3746823995641901E+2","1.215058560962404E-2"
"1371","1.1087295851513639E+0","-2.5573369841718394E-20","-1.9495641079053530E-1","4.8930421096834422E-4","-2.2086395600906372E-1","4.1029104052003216E-3","3.0229812858824898E+0","5.5105569276568351E+0","2.4426391157095591E+1","2.3746765402114400E+2","1.215058560962404E-2"
"1370","1.1087302605891680E+0","-2.5575020411450639E-20","-1.9495469220008596E-1","-5.0632408120267094E-4","-2.2086606541434206E-1","-4.2457463001439270E-3","3.0229805863755699E+0","5.5105682895963968E+0","2.4426441520640275E+1","2.3746644955210999E+2","1.215058560962404E-2"
"1369","1.1087306064551175E+0","-2.5573472527152785E-20","-1.9495381217523380E-1","5.1482079308208582E-4","-2.2086714556382325E-1","4.3170579006233086E-3","3.0229802281799398E+0","5.5105741077313457E+0","2.4426467310418321E+1","2.3746583280824200E+2","1.215058560962404E-2"
"1368","1.1087313165841128E+0","-2.5574843631848533E-20","-1.9495200531249590E-1","-5.3183939798728743E-4","-2.2086936332811247E-1","-4.4599019729011577E-3","3.0229794927232700E+0","5.5105860537223945E+0","2.4426520262861047E+1","2.3746456646681600E+2","1.215058560962404E-2"
"1367","1.1087316797714482E+0","-2.5573460864511443E-20","-1.9495108121318172E-1","5.4033546248358232E-4","-2.2087049758195915E-1","4.5312177598804326E-3","3.0229791165772002E+0","5.5105921634928974E+0","2.4426547345358543E+1","2.3746391875849000E+2","1.215058560962404E-2"
