"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1065","1.2626965170524631E+0","2.2262411552658248E-21","5.9186140563902176E-36","4.3844229455045231E-12","-8.0431545177416475E-1","9.1191325253740598E-34","2.5856497570719301E+0","1.8533398650417155E+1","8.2152140128234379E+1","3.6582774185111999E+0","1.215058560962404E-2"
"1064","1.2628914027614535E+0","3.2506918660379400E-20","1.0347289023113186E-34","4.4216061363646279E-12","-8.0462759691547114E-1","-2.6264070280422370E-33","2.5853402104804499E+0","1.8533887020500192E+1","8.2154304903743324E+1","3.6508754776626500E+0","1.215058560962404E-2"
"1063","1.2630806926594953E+0","2.2262502752552250E-21","-8.5970146689372629E-35","1.9300854649584863E-12","-8.0493090157303648E-1","1.9079889618578107E-34","2.5850393956278501E+0","1.8534360797750008E+1","8.2156404994274510E+1","3.6437024242134100E+0","1.215058560962404E-2"
"1062","1.2632757801747421E+0","3.2506915413453168E-20","-2.1712923496023105E-34","1.8085432037825553E-12","-8.0524362170109998E-1","1.0794211975295819E-33","2.5847292060756799E+0","1.8534848499084763E+1","8.2158566805453844E+1","3.6363264998150502E+0","1.215058560962404E-2"
"1061","1.2634652668692918E+0","2.2262507946665902E-21","-2.6948207992600941E-34","1.9784501473129939E-12","-8.0554748584425295E-1","4.8552618666363763E-33","2.5844277650911498E+0","1.8535321629515519E+1","8.2160664028860069E+1","3.6291786509123600E+0","1.215058560962404E-2"
"1060","1.2636605580157372E+0","3.2506917519370895E-20","-1.3016836693830601E-34","3.2403940625982544E-12","-8.0586078363268532E-1","-5.5875066851223498E-34","2.5841169285474002E+0","1.8535808667021591E+1","8.2162822897516662E+1","3.6218286363070198E+0","1.215058560962404E-2"
"1059","1.2638502432778886E+0","2.2262579743358225E-21","-1.8628058977480790E-34","3.2687353537378844E-12","-8.0616520986018125E-1","1.9202170418422395E-33","2.5838148575124098E+0","1.8536281155393858E+1","8.2164917274899864E+1","3.6147058891227002E+0","1.215058560962404E-2"
"1058","1.2640457398794283E+0","3.2506916526996443E-20","2.7334945634021474E-34","3.0326826810830845E-12","-8.0647908798911683E-1","-1.6876454845320500E-33","2.5835033699353498E+0","1.8536767533959548E+1","8.2167073222701873E+1","3.6073816795129301E+0","1.215058560962404E-2"
"1057","1.2642356254794374E+0","2.2262585155575499E-21","7.0466184354392847E-34","3.3753665253168348E-12","-8.0678407890615511E-1","-5.3345814431276723E-33","2.5832006649207702E+0","1.8537239385004867E+1","8.2169164775035355E+1","3.6002839326215699E+0","1.215058560962404E-2"
"1056","1.2644313293592377E+0","3.2506920313528788E-20","4.2310449789909711E-34","2.0778410951385079E-12","-8.0709854006291593E-1","-3.1177636666859532E-33","2.5828885222569400E+0","1.8537725109489742E+1","8.2171317823523538E+1","3.5929854236591598E+0","1.215058560962404E-2"
"1055","1.2646214170663890E+0","2.2262593912057936E-21","-6.3814649570264933E-34","2.5956282933053956E-12","-8.0740409828106330E-1","5.9340365422730060E-33","2.5825851793229000E+0","1.8538196327910558E+1","8.2173406571651611E+1","3.5859125760391901E+0","1.215058560962404E-2"
"1054","1.2648173300463030E+0","3.2506919012577266E-20","2.6986999306178077E-34","1.2992121634256782E-12","-8.0771914515838827E-1","-2.3726413075867216E-33","2.5822723775092200E+0","1.8538681403142967E+1","8.2175556742228366E+1","3.5786396644141099E+0","1.215058560962404E-2"
"1053","1.2650076216288750E+0","2.2262557755218272E-21","-3.5613364599687433E-34","1.5520436339498083E-12","-8.0802527329544738E-1","3.4906539846537992E-33","2.5819683927051198E+0","1.8539151993612506E+1","8.2177642706865839E+1","3.5715916171108000E+0","1.215058560962404E-2"
