"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1020","-1.6963468624500386E+0","-2.9398336379176831E-23","4.1531551485146631E-2","-4.3930053566671423E-13","1.2792534009624505E+0","-6.2097091740473675E-14","2.4228803511655501E+0","6.2391410934823144E+0","2.7655952535184241E+1","1.3826948270731401E+0","1.215058560962404E-2"
"1019","-1.6962840601799685E+0","-4.9950538739844273E-23","4.4670576617123869E-2","-5.0418251190790611E-13","1.2792052615734453E+0","-6.4470325401128210E-14","2.4227782911322802E+0","6.2391400894629427E+0","2.7655948084713952E+1","1.3826706168036300E+0","1.215058560962404E-2"
"1018","-1.6962166848420293E+0","-9.0913237269758795E-24","4.7809477730036631E-2","-4.3184287443547493E-13","1.2791536169617395E+0","-7.0756105158098890E-14","2.4226688030261001E+0","6.2391390122046166E+0","2.7655943309600726E+1","1.3826446449583401E+0","1.215058560962404E-2"
"1017","-1.6961447367689417E+0","-1.9177010683495016E-23","5.0948246113820886E-2","-4.2234334482230729E-13","1.2790984674111050E+0","-7.3250818460322863E-14","2.4225518881538299E+0","6.2391378616853927E+0","2.7655938209747308E+1","1.3826169119418099E+0","1.215058560962404E-2"
"1016","-1.6960682163176175E+0","-2.6221317695405950E-23","5.4086873059752481E-2","-5.2871787639593310E-13","1.2790398132275855E+0","-8.1879701593138908E-14","2.4224275479074699E+0","6.2391366378818223E+0","2.7655932785049750E+1","1.3825874181965800E+0","1.215058560962404E-2"
"1015","-1.6959871238655115E+0","-2.0548611725029963E-23","5.7225349860400149E-2","-4.1829726325386873E-13","1.2789776547327503E+0","-8.3295583808182749E-14","2.4222957837716699E+0","6.2391353407689571E+0","2.7655927035397465E+1","1.3825561641888999E+0","1.215058560962404E-2"
"1014","-1.6959014598140425E+0","7.2646849267987570E-23","6.0363667809833960E-2","-5.0733422426313902E-13","1.2789119922700671E+0","-8.7356257009126683E-14","2.4221565973165902E+0","6.2391339703203821E+0","2.7655920960673367E+1","1.3825231504108499E+0","1.215058560962404E-2"
"1013","-1.6957957409931292E+0","2.8514377839045297E-23","6.4024826368036344E-2","-5.8645528290505533E-13","1.2788309579211212E+0","-8.4645774224546683E-14","2.4219848343513801E+0","6.2391322787381531E+0","2.7655913462474956E+1","1.3824824108824600E+0","1.215058560962404E-2"
"1012","-1.6957001732930874E+0","3.6248374374110346E-23","6.7162770281041700E-2","-5.4745556719047055E-13","1.2787577047959755E+0","-9.9257858641681427E-14","2.4218295720147598E+0","6.2391307492976900E+0","2.7655906682994861E+1","1.3824455861028799E+0","1.215058560962404E-2"
"1011","-1.6956000354121561E+0","-3.2699223006176499E-23","7.0300527784510555E-2","-4.8690257582892650E-13","1.2786809489150373E+0","-1.0370494101188960E-13","2.4216668929170999E+0","6.2391291464279188E+0","2.7655899578028066E+1","1.3824070032878999E+0","1.215058560962404E-2"
"1010","-1.6954953278455103E+0","3.5205887084831027E-24","7.3438090179445442E-2","-5.4490706181082493E-13","1.2786006907017269E+0","-1.0747085310362512E-13","2.4214967989969800E+0","6.2391274700961663E+0","2.7655892147429739E+1","1.3823666630757701E+0","1.215058560962404E-2"
"1009","-1.6953860511107288E+0","-4.8649980207446547E-23","7.6575448768723603E-2","-6.3723287945359428E-13","1.2785169305985216E+0","-1.1838800926536613E-13","2.4213192922814302E+0","6.2391257202682446E+0","2.7655884391048332E+1","1.3823245660899299E+0","1.215058560962404E-2"
"1008","-1.6952722057472702E+0","2.8566937081117794E-23","7.9712594857151445E-2","-5.2870118253104774E-13","1.2784296690659667E+0","-1.1081062466556616E-13","2.4211343748869298E+0","6.2391238969085094E+0","2.7655876308725855E+1","1.3822807129981700E+0","1.215058560962404E-2"
"1007","-1.6951537923184961E+0","1.0855423331651547E-23","8.2849519751655359E-2","-6.5983636206246332E-13","1.2783389065864728E+0","-1.1691093017896851E-13","2.4209420490151601E+0","6.2391219999797620E+0","2.7655867900297419E+1","1.3822351044917400E+0","1.215058560962404E-2"
"1006","-1.6950308114084531E+0","5.5122205491807826E-24","8.5986214761190491E-2","-5.0815326672644155E-13","1.2782446436583461E+0","-1.1347606801480508E-13","2.4207423169595801E+0","6.2391200294433391E+0","2.7655859165591639E+1","1.3821877412963399E+0","1.215058560962404E-2"
"1005","-1.6949032636253283E+0","2.3508375904126141E-24","8.9122671197015058E-2","-6.0256557109789713E-13","1.2781468808022107E+0","-1.1814577438147324E-13","2.4205351810981899E+0","6.2391179852590550E+0","2.7655850104430385E+1","1.3821386241532001E+0","1.215058560962404E-2"
"1004","-1.6947711495990723E+0","9.9210862316693698E-23","9.2258880372641947E-2","-6.5365489095451519E-13","1.2780456185566089E+0","-1.2762898603440938E-13","2.4203206438984299E+0","6.2391158673851974E+0","2.7655840716628763E+1","1.3820877538458101E+0","1.215058560962404E-2"
