"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1168","4.8784941344943100E-1","-8.6598594190037093E-1","2.4243145986171597E-24","6.2372089941641664E-5","2.5008844621317516E-5","-1.2900725985051207E-24","2.9879970501092399E+0","6.5826921518581791E+0","2.9178795442805075E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1167","4.8784941344943100E-1","-8.6573585652880769E-1","1.3529302509356670E-24","4.5767101023885495E-4","1.8348012988577672E-4","-1.0082662406704696E-24","2.9879969966444100E+0","6.5826921141642663E+0","2.9178795275721011E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1166","4.8784941344943100E-1","-8.6748695092834160E-1","1.9088223538699507E-24","-2.3092500208062123E-3","-9.2666172441799430E-4","-2.0432460512270686E-24","2.9879956640224599E+0","6.5826910016260429E+0","2.9178790344224215E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1165","4.8784941344943100E-1","-8.6898879259460116E-1","-4.9940775253203039E-24","-4.6805529053267530E-3","-1.8797622547600029E-3","1.7509073000239399E-24","2.9879913518981001E+0","6.5826873972311528E+0","2.9178774367189476E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1164","4.8784941344943100E-1","-8.7049144048514837E-1","2.3278462247651025E-24","-7.0515013824522868E-3","-2.8342720140068427E-3","-8.5763298017721201E-25","2.9879841138414900E+0","6.5826813474300128E+0","2.9178747550515403E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1163","4.8784941344943100E-1","-8.7199486808450355E-1","-1.8629737404362465E-26","-9.4220602244602675E-3","-3.7901702094047121E-3","-1.4941156458048003E-24","2.9879739500297999E+0","6.5826728525486926E+0","2.9178709895647362E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1162","4.8784941344943100E-1","-8.7349904878026441E-1","-5.4399342623912380E-26","-1.1792194163464359E-2","-4.7474359911167880E-3","-5.6952303377342901E-25","2.9879608607123802E+0","6.5826619131031361E+0","2.9178661404872340E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1161","4.8784941344943100E-1","-8.7500395586759105E-1","-1.2067915987315405E-24","-1.4161867897760508E-2","-5.7060484554478461E-3","6.6079301766235601E-25","2.9879448462110201E+0","6.5826485297876580E+0","2.9178602081268011E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1160","4.8784941344943100E-1","-8.7650956255391832E-1","3.9162224659931984E-25","-1.6531046098347452E-2","-6.6659866482706494E-3","9.9859549877760929E-26","2.9879259069202599E+0","6.5826327034420595E+0","2.9178531928556904E+1","1.0000000000000000E+0","1.215058560962404E-2"
"1159","4.8784941344943100E-1","-8.7801584196357219E-1","1.7769334240220067E-24","-1.8899693415390200E-2","-7.6272295683150765E-3","-1.3952453924300998E-24","2.9879040433075699E+0","6.5826144350648725E+0","2.9178450951165175E+1","1.0000000000000000E+0","1.215058560962404E-2"
